Provincia,Numero de cines,Pantallas,Butacas,Población Censo 2022,Territorio (km2),Densidad de poblacion (hab/km2),Espectadores(2001-2020),IDH(2019)
Buenos Aires,101,362,92818,17569053,307571,57.122,320111459,0.834
CABA,37,150,27940,3120612,203,15372.473,204252623,0.882
Catamarca,2,10,1657,429556,102602,4.187,4076238,0.846
Chaco,3,13,2302,1142963,99633,11.472,4663714,0.82
Chubut,8,9,2602,603120,224686,2.684,6614515,0.852
Cordoba,36,110,22334,3978984,165321,24.068,68619369,0.849
Corrientes,7,16,3170,1197553,88199,13.578,7541825,0.826
Entre Rios,11,14,3842,1426426,78781,18.106,3261787,0.826
Formosa,1,3,619,606041,72066,8.41,753007,0.82
Jujuy,4,5,2277,797955,53219,14.994,2797710,0.836
La Pampa,5,5,1957,366022,143440,2.552,3382122,0.853
La Rioja,6,11,1762,384607,89680,4.289,2296689,0.846
Mendoza,17,48,10791,2014533,148827,13.536,29595040,0.853
Misiones,4,8,1617,1280960,29801,42.984,3040100,0.826
Neuquen,7,19,5170,726590,94078,7.723,14186878,0.852
Rio Negro,6,9,2232,762067,203013,3.754,3976407,0.852
Salta,7,20,3874,1440672,155488,9.265,14197520,0.836
San Juan,4,20,4021,818234,89651,9.127,6761273,0.846
San Luis,3,11,2526,540905,76748,7.048,5764363,0.853
Sant. del Estero,4,10,2792,1054028,136351,7.73,4930605,0.831
Santa Cruz,8,10,1836,333473,243943,1.367,2180041,0.852
Santa Fe,21,77,19026,3556522,133007,26.739,62318282,0.855
Tierra del Fuego,3,6,1445,190641,21571,8.838,12460864,0.852
Tucuman,11,28,4775,1703186,22524,75.616,3574326,0.831
